ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units
2197,2,Non-potable Raw,21513,21512,1,Acre-feet
2197,3,Non-potable Re-use,2723,2724,-1,Acre-feet
2198,,**SERVICE CONNECTIONS NOT SET UP**,,,,
2199,1,Potable Treated,16612,16248,364,Acre-feet
2200,1,Potable Treated,8868,,8868,"Gallons, Millions"
2200,2,Non-potable Raw,30188,,30188,Acre-feet
2200,3,Non-potable Re-use,12783,,12783,Acre-feet
2201,1,Potable Treated,15957200,15600700,356460,"Gallons, Thousands"
2201,2,Non-potable Raw,435542,440801,-5259,"Gallons, Thousands"
2201,3,Non-potable Re-use,396417,400025,-3608,"Gallons, Thousands"
2204,1,Potable Treated,811869,705773,106096,"Gallons, Thousands"
2205,1,Potable Treated,6446,10049.4,-3603.4,Acre-feet
2205,2,Non-potable Raw,548,453.65,94.35,Acre-feet
2205,3,Non-potable Re-use,2277,1258.44,1018.56,Acre-feet
2206,1,Potable Treated,18126,16145,1981,Acre-feet
2207,1,Potable Treated,1291,1193.7,97.3,"Gallons, Millions"
2208,1,Potable Treated,7658,7013.24,644.76,"Gallons, Millions"
2209,1,Potable Treated,613,554.93,58.07,"Gallons, Millions"
2209,2,Non-potable Raw,461,461.04,-0.0400085,Acre-feet
2210,1,Potable Treated,54,1686.75,-1632.75,"Gallons, Millions"
2212,1,Potable Treated,498,481.69,16.31,"Gallons, Millions"
2213,1,Potable Treated,1721240,2291760,-570523,"Gallons, Thousands"
2214,1,Potable Treated,637446,517746,119700,"Gallons, Thousands"
2215,1,Potable Treated,839706000,799275000,40431000,Gallons
2216,1,Potable Treated,1674680,1544410,130267,"Gallons, Thousands"
2217,1,Potable Treated,1644130,1523000,121134,"Gallons, Thousands"
2218,1,Potable Treated,1717130,1630990,86136,"Gallons, Thousands"
2219,1,Potable Treated,1687540,1606060,81480,"Gallons, Thousands"
2220,1,Potable Treated,,,,"Gallons, Thousands"
2220,2,Non-potable Raw,,,,Acre-feet
2221,1,Potable Treated,,,,"Gallons, Millions"
2221,2,Non-potable Raw,,,,"Gallons, Millions"
2221,3,Non-potable Re-use,,,,"Gallons, Millions"
2222,1,Potable Treated,483,411.817,71.183,"Gallons, Millions"
2222,2,Non-potable Raw,80,,80,"Gallons, Millions"
2222,3,Non-potable Re-use,110,205.361,-95.361,"Gallons, Millions"
2223,1,Potable Treated,884,697.7,186.3,"Gallons, Millions"
2224,1,Potable Treated,1468,1325.8,142.2,"Gallons, Millions"
2226,1,Potable Treated,1359980,1350430,9549,"Gallons, Thousands"
2228,1,Potable Treated,,,,"Gallons, Thousands"
2228,3,Non-potable Re-use,,,,"Gallons, Thousands"
2229,1,Potable Treated,711079000,644440000,66639000,Gallons
2230,1,Potable Treated,1231,1020.8,210.2,"Gallons, Millions"
2230,2,Non-potable Raw,241,241.355,-0.354996,"Gallons, Millions"
2231,1,Potable Treated,,,,"Gallons, Millions"
2231,2,Non-potable Raw,,,,"Gallons, Millions"
2232,1,Potable Treated,716070000,648157000,67913000,Gallons
